-0.362392 	0.362392 	4.94062e-18 	0.0864215 	0.0885651 	-4.0606e-20
-0.38007 	0.38007 	8.04456e-18 	0.227935 	0.228842 	-3.90662e-20
-0.397747 	0.397747 	9.88785e-18 	0.34665 	0.337625 	-3.33635e-20
-0.415425 	0.415425 	1.21449e-17 	0.445799 	0.420366 	-5.11648e-20
-0.433103 	0.433103 	1.50587e-17 	0.528353 	0.481423 	2.32906e-20
-0.45078 	0.45078 	1.72354e-17 	0.596982 	0.524519 	-1.84645e-21
-0.468458 	0.468458 	1.84504e-17 	0.653967 	0.552943 	-9.72664e-20
-0.486136 	0.486136 	1.73179e-17 	0.701273 	0.569568 	6.35511e-20
-0.503813 	0.503813 	1.86926e-17 	0.740588 	0.576865 	5.77465e-20
-0.521491 	0.521491 	2.16336e-17 	0.773359 	0.576931 	-8.00862e-20
-0.539169 	0.539169 	1.85726e-17 	0.800809 	0.57152 	9.33865e-20
-0.556847 	0.556847 	1.52111e-17 	0.823965 	0.562075 	-3.59525e-20
-0.574524 	0.574524 	1.43441e-17 	0.843679 	0.549758 	7.14986e-20
-0.592202 	0.592202 	1.33321e-17 	0.860658 	0.535487 	-1.15653e-19
-0.60988 	0.60988 	1.56602e-17 	0.875481 	0.519966 	2.44096e-19
-0.627557 	0.627557 	1.87775e-17 	0.888597 	0.503724 	-5.56717e-20
-0.645235 	0.645235 	1.91741e-17 	0.900351 	0.487099 	-1.57283e-20
-0.662913 	0.662913 	1.92184e-17 	0.911192 	0.469999 	1.65383e-19
-0.68059 	0.68059 	1.44709e-17 	0.92181 	0.451738 	-8.11506e-20
-0.698268 	0.698268 	7.77802e-18 	0.9308 	0.432956 	4.01101e-20
-0.707107 	0.707107 	5.63985e-18 	0.930471 	0.392122 	-5.523e-20
-0.764429 	0.764429 	3.81639e-18 	0.987778 	0.411173 	0
-0.871752 	0.871752 	7.10856e-18 	0.975623 	0.354806 	0
-0.929074 	0.929074 	9.78944e-18 	1.03026 	0.293601 	0
-0.993719 	0.993719 	9.27282e-18 	1.01177 	0.262258 	0
-1.09372 	1.09372 	1.38702e-17 	0.999428 	0.232319 	0
-1.15104 	1.15104 	1.71503e-17 	1.02903 	0.20985 	0
-1.22301 	1.22301 	1.78518e-17 	1.0185 	0.189247 	0
-1.31569 	1.31569 	1.71624e-17 	1.0108 	0.169733 	0
-1.37301 	1.37301 	1.47966e-17 	1.02766 	0.155872 	0
-1.4523 	1.4523 	7.69567e-18 	1.02056 	0.141091 	0
-1.53765 	1.53765 	2.08167e-18 	1.01505 	0.126965 	0
-1.59497 	1.59497 	-3.17936e-20 	1.02373 	0.116623 	0
-1.68159 	1.68159 	-7.25683e-19 	1.0185 	0.105348 	0
-1.75962 	1.75962 	2.42861e-18 	1.01425 	0.0944504 	0
-1.81694 	1.81694 	3.86339e-18 	1.01829 	0.086566 	0
-1.91088 	1.91088 	2.82255e-18 	1.0143 	0.0774703 	0
-1.98159 	1.98159 	2.08167e-18 	1.01097 	0.0685807 	0
-2.03891 	2.03891 	3.94217e-18 	1.01258 	0.0625257 	0
-2.14017 	2.14017 	5.6769e-18 	1.00954 	0.0548622 	0
-2.20355 	2.20355 	5.55112e-18 	1.007 	0.0472971 	0
-2.26088 	2.26088 	6.21105e-18 	1.00749 	0.0428039 	0
-2.3682 	2.3682 	5.83369e-18 	1.00528 	0.0361473 	0
-2.42552 	2.42552 	6.19835e-18 	1.00537 	0.0323612 	0
