0.000000e+00 0.000000e+00 -3.277482e-03
1.231997e-01 1.228883e-01 9.800981e-02
2.463994e-01 2.439137e-01 1.978114e-01
3.695991e-01 3.612417e-01 2.946143e-01
4.927988e-01 4.730936e-01 3.869512e-01
6.159986e-01 5.777738e-01 4.734223e-01
7.391983e-01 6.736956e-01 5.527168e-01
8.623980e-01 7.594049e-01 6.236327e-01
9.855977e-01 8.336024e-01 6.850949e-01
1.108797e+00 8.951633e-01 7.361718e-01
1.231997e+00 9.431544e-01 7.760891e-01
1.355197e+00 9.768483e-01 8.042417e-01
1.478397e+00 9.957342e-01 8.202028e-01
1.601596e+00 9.995257e-01 8.237304e-01
1.724796e+00 9.881655e-01 8.147711e-01
1.847996e+00 9.618256e-01 7.934608e-01
1.971195e+00 9.209055e-01 7.601224e-01
2.094395e+00 8.660254e-01 7.152613e-01
2.217595e+00 7.980172e-01 6.595575e-01
2.340795e+00 7.179119e-01 5.938556e-01
2.463994e+00 6.269238e-01 5.191514e-01
2.587194e+00 5.264322e-01 4.365774e-01
2.710394e+00 4.179603e-01 3.473853e-01
2.833593e+00 3.031527e-01 2.529272e-01
2.956793e+00 1.837495e-01 1.546350e-01
3.079993e+00 6.156091e-02 5.399870e-02
3.203193e+00 -6.156091e-02 -4.745617e-02
3.326392e+00 -1.837495e-01 -1.481917e-01
3.449592e+00 -3.031527e-01 -2.466807e-01
3.572792e+00 -4.179603e-01 -3.414303e-01
3.695991e+00 -5.264322e-01 -4.310042e-01
3.819191e+00 -6.269238e-01 -5.140445e-01
3.942391e+00 -7.179119e-01 -5.892924e-01
4.065590e+00 -7.980172e-01 -6.556073e-01
4.188790e+00 -8.660254e-01 -7.119838e-01
4.311990e+00 -9.209055e-01 -7.575673e-01
4.435190e+00 -9.618256e-01 -7.916669e-01
4.558389e+00 -9.881655e-01 -8.137657e-01
4.681589e+00 -9.995257e-01 -8.235286e-01
4.804789e+00 -9.957342e-01 -8.208076e-01
4.927988e+00 -9.768483e-01 -8.056440e-01
5.051188e+00 -9.431544e-01 -7.782677e-01
5.174388e+00 -8.951633e-01 -7.390936e-01
5.297588e+00 -8.336024e-01 -6.887157e-01
5.420787e+00 -7.594049e-01 -6.278975e-01
5.543987e+00 -6.736956e-01 -5.575610e-01
5.667187e+00 -5.777738e-01 -4.787724e-01
5.790386e+00 -4.730936e-01 -3.927262e-01
5.913586e+00 -3.612417e-01 -3.007266e-01
6.036786e+00 -2.439137e-01 -2.041683e-01
6.159986e+00 -1.228883e-01 -1.045151e-01
6.283185e+00 -2.449294e-16 -3.277482e-03
