0.000000e+00 4.898587e-16 3.856351e-04
1.566879e-02 1.566815e-02 1.605370e-02
3.133758e-02 3.133245e-02 3.171783e-02
4.700637e-02 4.698906e-02 4.737416e-02
6.267517e-02 6.263414e-02 6.301887e-02
7.834396e-02 7.826384e-02 7.864811e-02
9.401275e-02 9.387432e-02 9.425803e-02
1.096815e-01 1.094618e-01 1.098448e-01
1.253503e-01 1.250223e-01 1.254046e-01
1.410191e-01 1.405522e-01 1.409337e-01
1.566879e-01 1.560476e-01 1.564281e-01
1.723567e-01 1.715046e-01 1.718841e-01
1.880255e-01 1.869196e-01 1.872980e-01
2.036943e-01 2.022886e-01 2.026658e-01
2.193631e-01 2.176080e-01 2.179839e-01
2.350319e-01 2.328740e-01 2.332485e-01
2.507007e-01 2.480828e-01 2.484558e-01
2.663695e-01 2.632307e-01 2.636021e-01
2.820382e-01 2.783139e-01 2.786837e-01
2.977070e-01 2.933289e-01 2.936969e-01
3.133758e-01 3.082718e-01 3.086379e-01
3.290446e-01 3.231390e-01 3.235032e-01
3.447134e-01 3.379270e-01 3.382891e-01
3.603822e-01 3.526319e-01 3.529919e-01
3.760510e-01 3.672503e-01 3.676081e-01
3.917198e-01 3.817785e-01 3.821340e-01
4.073886e-01 3.962130e-01 3.965661e-01
4.230574e-01 4.105502e-01 4.109009e-01
4.387262e-01 4.247866e-01 4.251347e-01
4.543949e-01 4.389187e-01 4.392642e-01
4.700637e-01 4.529431e-01 4.532859e-01
4.857325e-01 4.668563e-01 4.671962e-01
5.014013e-01 4.806548e-01 4.809919e-01
5.170701e-01 4.943354e-01 4.946695e-01
5.327389e-01 5.078946e-01 5.082256e-01
5.484077e-01 5.213291e-01 5.216570e-01
5.640765e-01 5.346356e-01 5.349602e-01
5.797453e-01 5.478109e-01 5.481322e-01
5.954141e-01 5.608516e-01 5.611696e-01
6.110829e-01 5.737547e-01 5.740692e-01
6.267517e-01 5.865169e-01 5.868279e-01
6.424204e-01 5.991351e-01 5.994425e-01
6.580892e-01 6.116062e-01 6.119099e-01
6.737580e-01 6.239272e-01 6.242271e-01
6.894268e-01 6.360950e-01 6.363911e-01
7.050956e-01 6.481066e-01 6.483988e-01
7.207644e-01 6.599592e-01 6.602473e-01
7.364332e-01 6.716497e-01 6.719338e-01
7.521020e-01 6.831752e-01 6.834553e-01
7.677708e-01 6.945331e-01 6.948089e-01
7.834396e-01 7.057205e-01 7.059921e-01
7.991084e-01 7.167346e-01 7.170018e-01
8.147771e-01 7.275727e-01 7.278356e-01
8.304459e-01 7.382323e-01 7.384907e-01
8.461147e-01 7.487105e-01 7.489644e-01
8.617835e-01 7.590050e-01 7.592543e-01
8.774523e-01 7.691131e-01 7.693578e-01
8.931211e-01 7.790324e-01 7.792724e-01
9.087899e-01 7.887605e-01 7.889957e-01
9.244587e-01 7.982949e-01 7.985253e-01
9.401275e-01 8.076333e-01 8.078588e-01
9.557963e-01 8.167734e-01 8.169940e-01
9.714651e-01 8.257130e-01 8.259286e-01
9.871339e-01 8.344499e-01 8.346605e-01
1.002803e+00 8.429820e-01 8.431874e-01
1.018471e+00 8.513070e-01 8.515074e-01
1.034140e+00 8.594231e-01 8.596183e-01
1.049809e+00 8.673282e-01 8.675181e-01
1.065478e+00 8.750203e-01 8.752050e-01
1.081147e+00 8.824977e-01 8.826770e-01
1.096815e+00 8.897583e-01 8.899323e-01
1.112484e+00 8.968005e-01 8.969691e-01
1.128153e+00 9.036226e-01 9.037857e-01
1.143822e+00 9.102228e-01 9.103804e-01
1.159491e+00 9.165995e-01 9.167516e-01
1.175159e+00 9.227513e-01 9.228977e-01
1.190828e+00 9.286764e-01 9.288173e-01
1.206497e+00 9.343736e-01 9.345088e-01
1.222166e+00 9.398414e-01 9.399709e-01
1.237835e+00 9.450784e-01 9.452023e-01
1.253503e+00 9.500835e-01 9.502016e-01
1.269172e+00 9.548552e-01 9.549676e-01
1.284841e+00 9.593926e-01 9.594991e-01
1.300510e+00 9.636944e-01 9.637951e-01
1.316178e+00 9.677596e-01 9.678545e-01
1.331847e+00 9.715872e-01 9.716762e-01
1.347516e+00 9.751763e-01 9.752595e-01
1.363185e+00 9.785260e-01 9.786032e-01
1.378854e+00 9.816355e-01 9.817068e-01
1.394522e+00 9.845039e-01 9.845693e-01
1.410191e+00 9.871307e-01 9.871901e-01
1.425860e+00 9.895151e-01 9.895685e-01
1.441529e+00 9.916566e-01 9.917040e-01
1.457198e+00 9.935546e-01 9.935960e-01
1.472866e+00 9.952087e-01 9.952441e-01
1.488535e+00 9.966185e-01 9.966478e-01
1.504204e+00 9.977835e-01 9.978069e-01
1.519873e+00 9.987037e-01 9.987210e-01
1.535542e+00 9.993786e-01 9.993899e-01
1.551210e+00 9.998082e-01 9.998134e-01
1.566879e+00 9.999923e-01 9.999915e-01
1.582548e+00 9.999310e-01 9.999241e-01
1.598217e+00 9.996241e-01 9.996112e-01
1.613886e+00 9.990718e-01 9.990529e-01
1.629554e+00 9.982742e-01 9.982493e-01
1.645223e+00 9.972316e-01 9.972006e-01
1.660892e+00 9.959441e-01 9.959071e-01
1.676561e+00 9.944122e-01 9.943691e-01
1.692229e+00 9.926361e-01 9.925870e-01
1.707898e+00 9.906162e-01 9.905612e-01
1.723567e+00 9.883532e-01 9.882922e-01
1.739236e+00 9.858476e-01 9.857806e-01
1.754905e+00 9.830999e-01 9.830270e-01
1.770573e+00 9.801108e-01 9.800320e-01
1.786242e+00 9.768812e-01 9.767964e-01
1.801911e+00 9.734117e-01 9.733211e-01
